age,workclass,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
29,Private,Some-college,Divorced,Tech-support,Own-child,White,Female,2,0,37,United-States,<=50K
73,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
73,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,27,United-States,<=50K
25,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,2,0,30,United-States,<=50K
44,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,3125,0,30,United-States,<=50K
47,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,39,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,1,0,50,United-States,<=50K
24,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
69,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Female,4,0,40,United-States,<=50K
48,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,49,United-States,>50K
39,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,1870,45,United-States,>50K
32,Private,9th,Never-married,Craft-repair,Unmarried,White,Male,0,0,60,United-States,<=50K
36,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,3096,0,49,United-States,>50K
29,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,1,0,27,United-States,<=50K
30,Private,Assoc-voc,Divorced,Prof-specialty,Unmarried,White,Female,0,0,38,United-States,<=50K
35,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,3406,0,39,United-States,>50K
33,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,7676,0,50,United-States,>50K
31,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,3877,0,80,United-States,<=50K
51,Private,HS-grad,Divorced,Other-service,Other-relative,Black,Female,0,0,19,United-States,<=50K
58,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,61,United-States,<=50K
65,Private,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,15,United-States,<=50K
58,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,7082,0,39,United-States,>50K
41,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,4243,0,50,United-States,>50K
63,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,83,United-States,<=50K
41,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,0,59,United-States,<=50K
42,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,<=50K
38,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,59,United-States,>50K
22,Private,HS-grad,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,3757,0,40,United-States,<=50K
32,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0,0,42,United-States,<=50K
39,Private,HS-grad,Separated,Other-service,Unmarried,White,Female,0,0,35,United-States,<=50K
62,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,3077,0,36,United-States,<=50K
33,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,1,0,56,United-States,>50K
38,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,United-States,<=50K
60,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,49,United-States,<=50K
20,Private,10th,Never-married,Other-service,Own-child,White,Male,3,0,36,United-States,<=50K
24,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States,<=50K
20,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,3,0,24,United-States,<=50K
54,Private,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
28,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,1,61,United-States,<=50K
36,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,60,United-States,<=50K
67,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,5,United-States,>50K
53,Private,HS-grad,Married-spouse-absent,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
24,Private,10th,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,39,United-States,<=50K
67,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,13,United-States,<=50K
24,Private,HS-grad,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,1861,40,United-States,<=50K
28,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,32,United-States,<=50K
29,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Female,1,0,37,United-States,<=50K
39,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,0,62,United-States,>50K
44,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,31,United-States,<=50K
33,Private,11th,Divorced,Other-service,Unmarried,White,Female,0,0,39,United-States,<=50K
41,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K
73,Self-emp-not-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,49,United-States,<=50K
37,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,7313,0,60,United-States,>50K
34,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1,0,44,United-States,>50K
45,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,4,0,54,United-States,>50K
32,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,61,United-States,<=50K
40,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2021,54,United-States,>50K
42,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,2792,0,39,United-States,<=50K
45,Private,HS-grad,Widowed,Adm-clerical,Not-in-family,Black,Female,0,0,32,United-States,<=50K
54,Private,Prof-school,Separated,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,>50K
35,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Black,Female,2,0,36,United-States,<=50K
34,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,7658,0,45,United-States,>50K
42,Private,HS-grad,Separated,Adm-clerical,Unmarried,Black,Female,0,0,34,United-States,<=50K
25,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,37,United-States,<=50K
42,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,34,United-States,<=50K
39,Private,Bachelors,Separated,Sales,Not-in-family,White,Male,8310,1,50,United-States,>50K
43,Private,Bachelors,Separated,Adm-clerical,Not-in-family,White,Female,0,0,36,United-States,<=50K
40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,44,United-States,>50K
22,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,0,0,23,United-States,<=50K
31,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,1908,40,United-States,<=50K
31,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,3739,0,40,United-States,>50K
35,Private,Bachelors,Never-married,Tech-support,Not-in-family,Black,Female,3,0,38,United-States,>50K
39,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,18,0,50,United-States,>50K
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,4226,0,60,United-States,>50K
41,Local-gov,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,50,United-States,<=50K
37,Private,Some-college,Divorced,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
60,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,14863,1934,40,United-States,>50K
57,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,0,60,United-States,>50K
29,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,7425,0,18,United-States,>50K
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,50,United-States,>50K
24,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,52,United-States,<=50K
47,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,61,United-States,<=50K
18,Private,11th,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,3353,1860,35,South,<=50K
59,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,14944,0,40,United-States,>50K
42,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,2,0,54,United-States,>50K
25,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Female,1,0,39,United-States,<=50K
66,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,32,United-States,<=50K
43,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,49,United-States,>50K
29,Private,HS-grad,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
52,Private,HS-grad,Divorced,Other-service,Not-in-family,Black,Female,3,0,39,United-States,<=50K
65,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,<=50K
74,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
77,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,14,United-States,>50K
58,Self-emp-not-inc,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,55,United-States,<=50K
52,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,1,0,39,United-States,<=50K
61,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,7433,0,40,United-States,>50K
64,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,61,United-States,<=50K
